cgpa,tenth_percent,twelfth_percent,backlogs,internships,projects,certifications,communication_skill,coding_skill,aptitude_score,technical_skill_score,extracurricular,ats_score,academic_score,experience_score,skill_score,placed
7.54,68.9,70.3,1,1,0,0,6,5,52.1,50.7,1,54.0,0.7247,0.1667,0.5363,0
6.06,68.4,79.7,0,0,2,1,5,5,84.1,31.4,4,87.2,0.673,0.16,0.6023,1
8.03,63.6,48.9,3,2,1,2,6,5,58.9,38.6,0,72.5,0.6825,0.4733,0.5566,1
8.23,77.1,64.3,0,1,5,4,4,3,49.9,61.7,1,48.6,0.7653,0.6267,0.3898,1
5.05,74.8,78.8,0,1,2,0,9,6,40.1,26.3,3,45.7,0.6367,0.2867,0.6303,1
5.77,52.9,68.9,2,1,1,3,6,4,61.6,41.7,0,42.9,0.5928,0.3467,0.5247,0
7.34,52.2,87.1,0,1,5,1,4,10,47.9,72.9,3,34.8,0.7152,0.5067,0.6638,1
6.85,77.1,47.5,0,1,2,3,7,2,51.4,58.8,4,84.1,0.6541,0.4067,0.4441,1
7.18,62.2,46.0,2,0,0,3,7,10,42.7,68.1,1,41.4,0.6297,0.12,0.738,0
6.26,75.6,78.0,2,2,0,3,4,3,61.5,33.0,1,86.0,0.6972,0.4533,0.4246,0
8.17,81.4,79.3,0,1,2,4,2,7,34.5,56.2,4,56.8,0.8099,0.4467,0.4436,1
8.06,56.7,65.5,1,2,2,4,3,6,65.4,87.1,0,53.5,0.7084,0.6133,0.5262,1
7.27,55.1,73.2,0,3,2,4,4,3,48.2,43.7,1,56.8,0.6843,0.78,0.3845,1
8.44,92.1,77.7,0,0,3,2,5,6,70.9,46.7,0,76.8,0.8465,0.26,0.6027,1
7.71,76.2,57.4,1,0,2,1,2,4,66.7,64.9,2,39.6,0.7198,0.16,0.4202,0
6.25,67.0,58.8,0,1,3,0,4,5,59.9,39.7,2,64.1,0.6272,0.3467,0.4996,1
7.61,60.8,70.5,0,1,3,1,5,5,73.2,67.2,3,54.3,0.7084,0.3867,0.5697,1
6.15,65.9,79.8,0,2,2,2,6,4,86.0,24.5,0,62.3,0.6713,0.5333,0.5981,1
8.17,57.7,52.8,2,0,1,0,6,4,80.8,20.0,1,51.3,0.6847,0.06,0.5825,0
7.15,82.6,65.4,1,1,2,4,6,5,34.4,60.3,2,48.5,0.7273,0.4467,0.4832,1
7.0,62.7,64.8,0,2,2,1,8,3,47.1,38.3,0,64.5,0.6686,0.4933,0.5013,1
6.45,85.1,73.4,3,3,2,0,7,3,49.3,45.4,3,30.1,0.7189,0.62,0.4779,0
8.54,67.2,67.9,2,0,2,1,5,6,69.5,69.9,0,80.1,0.7649,0.16,0.5985,0
7.03,59.5,60.9,0,3,2,0,3,5,48.6,65.6,0,56.9,0.6525,0.62,0.4358,1
6.73,66.9,84.2,3,0,2,0,4,2,47.9,34.1,0,45.1,0.7142,0.12,0.3437,0
6.81,45.0,61.0,0,1,2,2,2,2,44.8,63.8,2,61.6,0.6056,0.3667,0.2744,0
7.79,70.6,64.2,0,0,2,1,5,1,63.4,49.9,2,42.5,0.7262,0.16,0.3801,1
7.6,70.0,47.3,0,1,4,3,6,6,69.4,62.1,3,56.4,0.6733,0.5267,0.6283,1
7.65,81.9,58.7,0,0,2,1,7,6,36.2,54.7,1,56.5,0.7342,0.16,0.5586,1
7.67,49.4,74.7,1,0,3,2,5,2,48.7,29.4,3,77.6,0.6939,0.26,0.3762,0
9.56,85.9,72.2,1,0,2,2,7,6,23.9,42.9,1,60.0,0.8731,0.2,0.5217,1
6.75,81.8,75.8,2,2,2,0,7,8,20.0,20.0,3,34.8,0.7317,0.4533,0.59,1
6.64,87.0,75.2,0,1,3,0,3,1,66.7,58.1,3,65.5,0.7373,0.3467,0.3302,1
6.3,71.4,95.1,0,1,4,3,4,3,63.7,61.7,1,68.0,0.7315,0.5267,0.431,1
7.88,84.2,58.3,0,1,3,2,5,1,61.1,43.0,0,26.0,0.75,0.4267,0.3733,1
8.44,54.3,46.9,0,0,4,0,4,6,86.6,53.0,4,33.6,0.6753,0.24,0.6197,1
